scope,run,gate,required,observed,passed,blocking_reason
source,,seed184_joint_exact_20_sidecars,"[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""]","{""expected_names"":[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""],""matched_file_count"":20,""missing_names"":[],""observed_names"":[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""],""unexpected_names"":[],""unique_resolved_file_count"":20}",true,
provenance,seed184_joint,p0_runtime_commit,e9aaff24054f1d409119b70df13b94159a34a8e4,e9aaff24054f1d409119b70df13b94159a34a8e4,true,
p0,seed184_joint,epoch_001_720_rows,720,720,true,
p0,seed184_joint,epoch_002_720_rows,720,720,true,
p0,seed184_joint,epoch_003_720_rows,720,720,true,
p0,seed184_joint,epoch_004_720_rows,720,720,true,
p0,seed184_joint,epoch_005_720_rows,720,720,true,
p0,seed184_joint,epoch_006_720_rows,720,720,true,
p0,seed184_joint,epoch_007_720_rows,720,720,true,
p0,seed184_joint,epoch_008_720_rows,720,720,true,
p0,seed184_joint,epoch_009_720_rows,720,720,true,
p0,seed184_joint,epoch_010_720_rows,720,720,true,
p0,seed184_joint,epoch_011_720_rows,720,720,true,
p0,seed184_joint,epoch_012_720_rows,720,720,true,
p0,seed184_joint,epoch_013_720_rows,720,720,true,
p0,seed184_joint,epoch_014_720_rows,720,720,true,
p0,seed184_joint,epoch_015_720_rows,720,720,true,
p0,seed184_joint,epoch_016_720_rows,720,720,true,
p0,seed184_joint,epoch_017_720_rows,720,720,true,
p0,seed184_joint,epoch_018_720_rows,720,720,true,
p0,seed184_joint,epoch_019_720_rows,720,720,true,
p0,seed184_joint,epoch_020_720_rows,720,720,true,
source,,seed184_frame_local_only_exact_20_sidecars,"[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""]","{""expected_names"":[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""],""matched_file_count"":20,""missing_names"":[],""observed_names"":[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""],""unexpected_names"":[],""unique_resolved_file_count"":20}",true,
provenance,seed184_frame_local_only,p0_runtime_commit,e9aaff24054f1d409119b70df13b94159a34a8e4,e9aaff24054f1d409119b70df13b94159a34a8e4,true,
p0,seed184_frame_local_only,epoch_001_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_002_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_003_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_004_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_005_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_006_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_007_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_008_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_009_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_010_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_011_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_012_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_013_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_014_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_015_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_016_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_017_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_018_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_019_720_rows,720,720,true,
p0,seed184_frame_local_only,epoch_020_720_rows,720,720,true,
source,,seed185_joint_exact_20_sidecars,"[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""]","{""expected_names"":[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""],""matched_file_count"":20,""missing_names"":[],""observed_names"":[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""],""unexpected_names"":[],""unique_resolved_file_count"":20}",true,
provenance,seed185_joint,p0_runtime_commit,e9aaff24054f1d409119b70df13b94159a34a8e4,e9aaff24054f1d409119b70df13b94159a34a8e4,true,
p0,seed185_joint,epoch_001_720_rows,720,720,true,
p0,seed185_joint,epoch_002_720_rows,720,720,true,
p0,seed185_joint,epoch_003_720_rows,720,720,true,
p0,seed185_joint,epoch_004_720_rows,720,720,true,
p0,seed185_joint,epoch_005_720_rows,720,720,true,
p0,seed185_joint,epoch_006_720_rows,720,720,true,
p0,seed185_joint,epoch_007_720_rows,720,720,true,
p0,seed185_joint,epoch_008_720_rows,720,720,true,
p0,seed185_joint,epoch_009_720_rows,720,720,true,
p0,seed185_joint,epoch_010_720_rows,720,720,true,
p0,seed185_joint,epoch_011_720_rows,720,720,true,
p0,seed185_joint,epoch_012_720_rows,720,720,true,
p0,seed185_joint,epoch_013_720_rows,720,720,true,
p0,seed185_joint,epoch_014_720_rows,720,720,true,
p0,seed185_joint,epoch_015_720_rows,720,720,true,
p0,seed185_joint,epoch_016_720_rows,720,720,true,
p0,seed185_joint,epoch_017_720_rows,720,720,true,
p0,seed185_joint,epoch_018_720_rows,720,720,true,
p0,seed185_joint,epoch_019_720_rows,720,720,true,
p0,seed185_joint,epoch_020_720_rows,720,720,true,
source,,seed185_frame_local_only_exact_20_sidecars,"[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""]","{""expected_names"":[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""],""matched_file_count"":20,""missing_names"":[],""observed_names"":[""stage196b2p0_epoch_channels_001.jsonl"",""stage196b2p0_epoch_channels_002.jsonl"",""stage196b2p0_epoch_channels_003.jsonl"",""stage196b2p0_epoch_channels_004.jsonl"",""stage196b2p0_epoch_channels_005.jsonl"",""stage196b2p0_epoch_channels_006.jsonl"",""stage196b2p0_epoch_channels_007.jsonl"",""stage196b2p0_epoch_channels_008.jsonl"",""stage196b2p0_epoch_channels_009.jsonl"",""stage196b2p0_epoch_channels_010.jsonl"",""stage196b2p0_epoch_channels_011.jsonl"",""stage196b2p0_epoch_channels_012.jsonl"",""stage196b2p0_epoch_channels_013.jsonl"",""stage196b2p0_epoch_channels_014.jsonl"",""stage196b2p0_epoch_channels_015.jsonl"",""stage196b2p0_epoch_channels_016.jsonl"",""stage196b2p0_epoch_channels_017.jsonl"",""stage196b2p0_epoch_channels_018.jsonl"",""stage196b2p0_epoch_channels_019.jsonl"",""stage196b2p0_epoch_channels_020.jsonl""],""unexpected_names"":[],""unique_resolved_file_count"":20}",true,
provenance,seed185_frame_local_only,p0_runtime_commit,e9aaff24054f1d409119b70df13b94159a34a8e4,e9aaff24054f1d409119b70df13b94159a34a8e4,true,
p0,seed185_frame_local_only,epoch_001_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_002_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_003_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_004_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_005_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_006_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_007_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_008_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_009_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_010_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_011_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_012_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_013_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_014_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_015_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_016_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_017_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_018_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_019_720_rows,720,720,true,
p0,seed185_frame_local_only,epoch_020_720_rows,720,720,true,
alignment,,six_run_epoch_population_alignment,6 x 20 x 720,6 x 20 x 720,true,
output,,paired_primary_cardinality,16 x 20,320,true,
decision,,fixed_decision_set,"[""STAGE196B2B2_FRAME_ENTITLEMENT_PATH_DOMINANT"",""STAGE196B2B2_POLARITY_OVERRIDE_HARM_SUBTYPE"",""STAGE196B2B2_COMPOSITION_WITHOUT_STABLE_LOCAL_PRECURSOR"",""STAGE196B2B2_SEED_SPECIFIC_MULTIPATH_EFFECT"",""STAGE196B2B2_ANALYSIS_INCOMPLETE""]",STAGE196B2B2_SEED_SPECIFIC_MULTIPATH_EFFECT,true,
