run,seed,gradient_mode,epoch,row_count,maximum_entitlement_error,maximum_decision_head_error,maximum_branch_delta_sum_error,maximum_final_logit_error,maximum_margin_error,prediction_equality_rate
seed183_joint,183,joint,1,720,3.027100348163003e-08,1.0515163628710411e-07,0.0,1.1446605063802906e-07,1.5813109444096085e-07,1.0
seed183_joint,183,joint,2,720,2.5797140867922508e-08,6.757045234451198e-08,0.0,1.4289741079309692e-07,1.8584725003378821e-07,1.0
seed183_joint,183,joint,3,720,2.3833558349117823e-08,8.07997733165422e-08,0.0,1.852346809272376e-07,2.1370662484088143e-07,1.0
seed183_joint,183,joint,4,720,2.641188456831145e-08,1.0110813053465506e-07,0.0,1.7915398942136562e-07,1.8882816776866207e-07,1.0
seed183_joint,183,joint,5,720,2.5844258955132204e-08,1.8519991651366752e-07,0.0,1.8519991651366752e-07,1.8514530153446174e-07,1.0
seed183_joint,183,joint,6,720,2.8199131363315644e-08,1.3968175427425678e-07,0.0,2.0477284135012042e-07,2.2950071709715303e-07,1.0
seed183_joint,183,joint,7,720,4.5638947510084904e-08,1.8500540854837766e-07,0.0,1.8500540854837766e-07,2.0296575975464748e-07,1.0
seed183_joint,183,joint,8,720,5.4727767428985885e-08,2.650674195692204e-07,0.0,2.650674195692204e-07,1.7909218863465526e-07,1.0
seed183_joint,183,joint,9,720,5.536438230091534e-08,2.5583173091092704e-07,0.0,2.5583173091092704e-07,2.1225775359567933e-07,1.0
seed183_joint,183,joint,10,720,5.594400398489796e-08,2.149939644091603e-07,0.0,2.149939644091603e-07,2.170524240341365e-07,1.0
seed183_joint,183,joint,11,720,5.3994949622548916e-08,2.3696966922059914e-07,0.0,2.3696966922059914e-07,2.644365086901246e-07,1.0
seed183_joint,183,joint,12,720,5.183522289176068e-08,2.591656453887481e-07,0.0,2.591656453887481e-07,1.9981483356801277e-07,1.0
seed183_joint,183,joint,13,720,5.7950953258334437e-08,2.4315149094178423e-07,0.0,2.4315149094178423e-07,1.9063150880072044e-07,1.0
seed183_joint,183,joint,14,720,5.23441469058028e-08,2.8382809214022586e-07,0.0,2.8382809214022586e-07,2.2113647168975348e-07,1.0
seed183_joint,183,joint,15,720,5.736670105616071e-08,2.692477409915739e-07,0.0,2.692477409915739e-07,2.6353228332887113e-07,1.0
seed183_joint,183,joint,16,720,5.424374605045301e-08,2.623707153759369e-07,0.0,2.623707153759369e-07,3.2546324657545256e-07,1.0
seed183_joint,183,joint,17,720,5.000597036453058e-08,3.0631564706951053e-07,0.0,3.0631564706951053e-07,2.0672198530746755e-07,1.0
seed183_joint,183,joint,18,720,5.317589257813893e-08,3.001001211977439e-07,0.0,3.001001211977439e-07,2.504285738780254e-07,1.0
seed183_joint,183,joint,19,720,5.800120184140667e-08,2.537212280273593e-07,0.0,2.537212280273593e-07,2.278904314145791e-07,1.0
seed183_joint,183,joint,20,720,5.5525259612387856e-08,2.450228966388579e-07,0.0,2.450228966388579e-07,1.9498309011822812e-07,1.0
seed183_frame_local_only,183,frame_local_only,1,720,2.3589929565304146e-08,1.1291335222374244e-07,0.0,1.626955565825483e-07,1.509380873621069e-07,1.0
seed183_frame_local_only,183,frame_local_only,2,720,5.483926179827847e-08,1.4822098814981643e-07,0.0,1.4822098814981643e-07,2.0449064419558738e-07,1.0
seed183_frame_local_only,183,frame_local_only,3,720,3.9089543935055815e-08,1.193420174905313e-07,0.0,1.2937773696819477e-07,1.7639858729268099e-07,1.0
seed183_frame_local_only,183,frame_local_only,4,720,1.3490245753811081e-08,9.64082826904189e-08,0.0,1.7437082355797884e-07,1.8183498884383198e-07,1.0
seed183_frame_local_only,183,frame_local_only,5,720,1.353633644063379e-08,9.127470645964308e-08,0.0,1.5175299550307386e-07,1.7807964081129057e-07,1.0
seed183_frame_local_only,183,frame_local_only,6,720,1.4593976305210532e-08,9.724041616365753e-08,0.0,1.7682130604157464e-07,2.0371884623671122e-07,1.0
seed183_frame_local_only,183,frame_local_only,7,720,2.8623037884312197e-08,1.2676070038075693e-07,0.0,1.6979696892960305e-07,1.9586745159116958e-07,1.0
seed183_frame_local_only,183,frame_local_only,8,720,4.7795747470935623e-08,1.596321488328556e-07,0.0,1.9417055474590939e-07,2.51622555680342e-07,1.0
seed183_frame_local_only,183,frame_local_only,9,720,5.652953039003705e-08,2.170402879642097e-07,0.0,2.170402879642097e-07,2.4094029704713193e-07,1.0
seed183_frame_local_only,183,frame_local_only,10,720,5.6304358841963165e-08,1.5211528725522783e-07,0.0,2.1889846824052483e-07,2.8277921337860334e-07,1.0
seed183_frame_local_only,183,frame_local_only,11,720,5.634604993698389e-08,2.092273332365835e-07,0.0,2.092273332365835e-07,1.9100617354439464e-07,1.0
seed183_frame_local_only,183,frame_local_only,12,720,4.630889249845893e-08,1.537815881302862e-07,0.0,2.252490194365464e-07,2.1311792952616315e-07,1.0
seed183_frame_local_only,183,frame_local_only,13,720,4.272694253959486e-08,1.4943071269257757e-07,0.0,1.8169271198686943e-07,1.970670400197605e-07,1.0
seed183_frame_local_only,183,frame_local_only,14,720,5.437078764991554e-08,2.1008352613094416e-07,0.0,2.1008352613094416e-07,1.8524952949405815e-07,1.0
seed183_frame_local_only,183,frame_local_only,15,720,5.2852134557745956e-08,2.1909019665145024e-07,0.0,2.1909019665145024e-07,1.979943240471016e-07,1.0
seed183_frame_local_only,183,frame_local_only,16,720,5.215266796199103e-08,2.569153858544837e-07,0.0,2.569153858544837e-07,2.3378340063828773e-07,1.0
seed183_frame_local_only,183,frame_local_only,17,720,5.0216806046776696e-08,2.4292710021356356e-07,0.0,2.4292710021356356e-07,2.5210698195721193e-07,1.0
seed183_frame_local_only,183,frame_local_only,18,720,5.1355797836549755e-08,2.832561727394989e-07,0.0,2.832561727394989e-07,3.09859061964346e-07,1.0
seed183_frame_local_only,183,frame_local_only,19,720,5.524383384081233e-08,2.450174050316889e-07,0.0,2.450174050316889e-07,2.6878544323594156e-07,1.0
seed183_frame_local_only,183,frame_local_only,20,720,5.4044637654016014e-08,2.712087767697824e-07,0.0,2.712087767697824e-07,2.954654170217452e-07,1.0
seed184_joint,184,joint,1,720,2.8026565679351023e-08,9.929981881207084e-08,0.0,1.5578485790257446e-07,1.658547015281897e-07,1.0
seed184_joint,184,joint,2,720,1.4274537274427956e-08,8.264443884797856e-08,0.0,1.4688775973326074e-07,1.615343538929892e-07,1.0
seed184_joint,184,joint,3,720,2.188017278470511e-08,1.4047227070435042e-07,0.0,1.81243610786197e-07,2.26639771838677e-07,1.0
seed184_joint,184,joint,4,720,3.57465196332285e-08,1.1548138578731937e-07,0.0,1.7424338238924975e-07,1.707496335434655e-07,1.0
seed184_joint,184,joint,5,720,3.408762150325373e-08,1.5147497056666737e-07,0.0,2.1103936775901389e-07,2.1834149022126326e-07,1.0
seed184_joint,184,joint,6,720,4.746860970961109e-08,1.8516753041986078e-07,0.0,1.8516753041986078e-07,2.1771841751672127e-07,1.0
seed184_joint,184,joint,7,720,5.548649428810393e-08,2.7071881403273323e-07,0.0,2.7071881403273323e-07,2.3462173004418219e-07,1.0
seed184_joint,184,joint,8,720,5.283297221936323e-08,2.640836522793677e-07,0.0,2.640836522793677e-07,2.4171941070960656e-07,1.0
seed184_joint,184,joint,9,720,4.9862685647106275e-08,2.0622349650167848e-07,0.0,2.0622349650167848e-07,2.0346826579142885e-07,1.0
seed184_joint,184,joint,10,720,5.704119632188309e-08,2.8202425372825246e-07,0.0,2.8202425372825246e-07,2.333449484748229e-07,1.0
seed184_joint,184,joint,11,720,5.0741665202913566e-08,3.0680908436053755e-07,0.0,3.0680908436053755e-07,1.9039017074007347e-07,1.0
seed184_joint,184,joint,12,720,5.301731986762093e-08,2.6694109633851326e-07,0.0,2.6694109633851326e-07,2.2637822283400055e-07,1.0
seed184_joint,184,joint,13,720,5.405231306987446e-08,2.945639603346706e-07,0.0,2.945639603346706e-07,2.1319834797584036e-07,1.0
seed184_joint,184,joint,14,720,5.5818659139283966e-08,2.994654755283932e-07,0.0,2.994654755283932e-07,2.3638746871057492e-07,1.0
seed184_joint,184,joint,15,720,5.654153589773614e-08,3.192149344855011e-07,0.0,3.192149344855011e-07,2.7332184604489385e-07,1.0
seed184_joint,184,joint,16,720,5.4169985386209873e-08,2.631234741201638e-07,0.0,2.631234741201638e-07,2.2748137951111858e-07,1.0
seed184_joint,184,joint,17,720,5.596968244425682e-08,2.894687796128892e-07,0.0,2.894687796128892e-07,3.610712273616201e-07,1.0
seed184_joint,184,joint,18,720,5.436790118107382e-08,3.0235266690326057e-07,0.0,3.0235266690326057e-07,2.599816277815137e-07,1.0
seed184_joint,184,joint,19,720,5.32043084033873e-08,2.7487869047604363e-07,0.0,2.7487869047604363e-07,2.5912165391162034e-07,1.0
seed184_joint,184,joint,20,720,5.7717237544885336e-08,2.848212772299519e-07,0.0,2.848212772299519e-07,2.0519261578755277e-07,1.0
seed184_frame_local_only,184,frame_local_only,1,720,1.739208294049277e-08,9.310396187345304e-08,0.0,2.0318681936970506e-07,2.4713939206222335e-07,1.0
seed184_frame_local_only,184,frame_local_only,2,720,2.4185807245835633e-08,1.0012246154378346e-07,0.0,1.6817825798653985e-07,1.5866319857948952e-07,1.0
seed184_frame_local_only,184,frame_local_only,3,720,4.8245593076146065e-08,1.4699790695793524e-07,0.0,1.4699790695793524e-07,2.0954031587638866e-07,1.0
seed184_frame_local_only,184,frame_local_only,4,720,2.6802096486644444e-08,1.0339398759384721e-07,0.0,1.70330411108921e-07,1.855967259878355e-07,1.0
seed184_frame_local_only,184,frame_local_only,5,720,1.977068136982396e-08,9.428903435804159e-08,0.0,2.020963698612377e-07,2.3353773670464761e-07,1.0
seed184_frame_local_only,184,frame_local_only,6,720,2.4324553815624483e-08,9.049568672203634e-08,0.0,1.80980206820891e-07,2.0611953699400942e-07,1.0
seed184_frame_local_only,184,frame_local_only,7,720,2.774993179688323e-08,1.3031854606548876e-07,0.0,1.799822797465822e-07,1.9052807953556794e-07,1.0
seed184_frame_local_only,184,frame_local_only,8,720,3.103129447845632e-08,1.294879299340579e-07,0.0,1.87117048078278e-07,2.0987637494584988e-07,1.0
seed184_frame_local_only,184,frame_local_only,9,720,4.6143876497595215e-08,1.8157891279457772e-07,0.0,1.9338695356196922e-07,2.0558895252875686e-07,1.0
seed184_frame_local_only,184,frame_local_only,10,720,5.4549201378151224e-08,2.961174061510974e-07,0.0,2.961174061510974e-07,2.4393982345216614e-07,1.0
seed184_frame_local_only,184,frame_local_only,11,720,4.3124901871749444e-08,2.0878504258803332e-07,0.0,2.0878504258803332e-07,1.7986036393580207e-07,1.0
seed184_frame_local_only,184,frame_local_only,12,720,5.498467914311078e-08,2.3365942158903863e-07,0.0,2.3365942158903863e-07,2.1165629338071312e-07,1.0
seed184_frame_local_only,184,frame_local_only,13,720,5.288942228620641e-08,2.957824567495493e-07,0.0,2.957824567495493e-07,2.245972354764092e-07,1.0
seed184_frame_local_only,184,frame_local_only,14,720,4.604915793127162e-08,2.8400996932020917e-07,0.0,2.8400996932020917e-07,2.6465968705480236e-07,1.0
seed184_frame_local_only,184,frame_local_only,15,720,5.169378070046804e-08,2.898662208039582e-07,0.0,2.898662208039582e-07,1.878089666007554e-07,1.0
seed184_frame_local_only,184,frame_local_only,16,720,5.574740069569373e-08,3.0729355815495296e-07,0.0,3.0729355815495296e-07,2.5999412445187886e-07,1.0
seed184_frame_local_only,184,frame_local_only,17,720,5.466184571645272e-08,3.030447035534678e-07,0.0,3.030447035534678e-07,2.0723754179385878e-07,1.0
seed184_frame_local_only,184,frame_local_only,18,720,5.709300332501499e-08,2.9987176963786055e-07,0.0,2.9987176963786055e-07,2.533644529734147e-07,1.0
seed184_frame_local_only,184,frame_local_only,19,720,5.353103915695101e-08,2.7465242879998186e-07,0.0,2.7465242879998186e-07,2.5231063549568944e-07,1.0
seed184_frame_local_only,184,frame_local_only,20,720,5.525404389583599e-08,2.916064500979587e-07,0.0,2.916064500979587e-07,2.0752971230386663e-07,1.0
seed185_joint,185,joint,1,720,1.3836564421998432e-08,9.219939123283893e-08,0.0,2.0258732957856296e-07,2.0828007940565385e-07,1.0
seed185_joint,185,joint,2,720,2.77897314049369e-08,9.592446814643552e-08,0.0,1.4557784888680203e-07,1.7843260602390387e-07,1.0
seed185_joint,185,joint,3,720,1.3099340695488237e-08,1.319612883410315e-07,0.0,2.2064471538740804e-07,2.502924303371401e-07,1.0
seed185_joint,185,joint,4,720,2.0844498238581366e-08,1.1385747122893974e-07,0.0,1.9791572425376103e-07,1.983913149317118e-07,1.0
seed185_joint,185,joint,5,720,3.28253892400987e-08,1.4916148360910597e-07,0.0,1.9896069991531817e-07,2.137488945841426e-07,1.0
seed185_joint,185,joint,6,720,2.8277016395072962e-08,1.2246565406215382e-07,0.0,2.0079116147542209e-07,2.1885223144835209e-07,1.0
seed185_joint,185,joint,7,720,4.8714049238895996e-08,2.1594113785994296e-07,0.0,2.1594113785994296e-07,1.7854396006100615e-07,1.0
seed185_joint,185,joint,8,720,5.639025790760144e-08,2.0007408085831457e-07,0.0,2.087263095695846e-07,2.111391328440959e-07,1.0
seed185_joint,185,joint,9,720,4.8085362580607693e-08,1.9615294721830878e-07,0.0,1.969793452794022e-07,1.849303981060757e-07,1.0
seed185_joint,185,joint,10,720,5.61434524426474e-08,2.626359441038062e-07,0.0,2.626359441038062e-07,2.171540094408897e-07,1.0
seed185_joint,185,joint,11,720,5.345002329626425e-08,2.623479677943408e-07,0.0,2.623479677943408e-07,1.8221360598147385e-07,1.0
seed185_joint,185,joint,12,720,5.486812792998563e-08,2.589403664821077e-07,0.0,2.589403664821077e-07,1.9348094859594767e-07,1.0
seed185_joint,185,joint,13,720,4.6172791701160065e-08,2.6863482371908276e-07,0.0,2.6863482371908276e-07,2.278829605018018e-07,1.0
seed185_joint,185,joint,14,720,5.151280479953613e-08,2.7318052353564326e-07,0.0,2.7318052353564326e-07,2.1198553934453912e-07,1.0
seed185_joint,185,joint,15,720,5.4601540955268035e-08,2.894270574316238e-07,0.0,2.894270574316238e-07,2.808987744629121e-07,1.0
seed185_joint,185,joint,16,720,5.3999748894639765e-08,2.8294985199295297e-07,0.0,2.8294985199295297e-07,3.39486504463693e-07,1.0
seed185_joint,185,joint,17,720,5.411233428009865e-08,2.908175176230543e-07,0.0,2.908175176230543e-07,2.46235835166253e-07,1.0
seed185_joint,185,joint,18,720,5.326542729111594e-08,2.7920817835536127e-07,0.0,2.7920817835536127e-07,1.8001482793295054e-07,1.0
seed185_joint,185,joint,19,720,5.118638335410708e-08,3.1271877753979993e-07,0.0,3.1271877753979993e-07,2.3205569377182655e-07,1.0
seed185_joint,185,joint,20,720,5.152800575114469e-08,3.1811512757329297e-07,0.0,3.1811512757329297e-07,2.5727652719353955e-07,1.0
seed185_frame_local_only,185,frame_local_only,1,720,1.3563203282718206e-08,9.508236820110483e-08,0.0,1.8935890189197835e-07,2.240369694206379e-07,1.0
seed185_frame_local_only,185,frame_local_only,2,720,2.736327581187581e-08,9.070827478030452e-08,0.0,9.664214539739646e-08,1.302276837478189e-07,1.0
seed185_frame_local_only,185,frame_local_only,3,720,2.6494259453002655e-08,1.3196754378164144e-07,0.0,1.6369819633155203e-07,1.9354034186402913e-07,1.0
seed185_frame_local_only,185,frame_local_only,4,720,1.261237644878399e-08,1.2929798431926542e-07,0.0,2.0473522566177849e-07,2.1887907220019542e-07,1.0
seed185_frame_local_only,185,frame_local_only,5,720,1.619000447594665e-08,1.9230580172724387e-07,0.0,2.005301018570549e-07,2.3145199357088586e-07,1.0
seed185_frame_local_only,185,frame_local_only,6,720,2.6201353531263294e-08,1.1308892866601639e-07,0.0,1.807929055352986e-07,2.0495368868722608e-07,1.0
seed185_frame_local_only,185,frame_local_only,7,720,2.4908064999440427e-08,1.3049965574829514e-07,0.0,1.787818937337704e-07,2.268918777303952e-07,1.0
seed185_frame_local_only,185,frame_local_only,8,720,2.7259794366241152e-08,1.5660512309167984e-07,0.0,1.5660512309167984e-07,1.5455600843594652e-07,1.0
seed185_frame_local_only,185,frame_local_only,9,720,4.4187543402074425e-08,1.3911201435234943e-07,0.0,1.7472977686949775e-07,1.9424684527535874e-07,1.0
seed185_frame_local_only,185,frame_local_only,10,720,4.685588961272913e-08,2.144425170769182e-07,0.0,2.144425170769182e-07,1.7036944832682366e-07,1.0
seed185_frame_local_only,185,frame_local_only,11,720,4.4692217149311375e-08,2.2999188331596088e-07,0.0,2.2999188331596088e-07,2.31281578777498e-07,1.0
seed185_frame_local_only,185,frame_local_only,12,720,5.327777741204187e-08,2.869389312820658e-07,0.0,2.869389312820658e-07,2.2183226011662782e-07,1.0
seed185_frame_local_only,185,frame_local_only,13,720,4.6720553981138835e-08,2.5235584777405506e-07,0.0,2.5235584777405506e-07,2.7091334775519726e-07,1.0
seed185_frame_local_only,185,frame_local_only,14,720,5.389311197312452e-08,2.6257298513243654e-07,0.0,2.6257298513243654e-07,2.447188224286023e-07,1.0
seed185_frame_local_only,185,frame_local_only,15,720,5.707546080202519e-08,3.042254874685568e-07,0.0,3.042254874685568e-07,2.0862181271397162e-07,1.0
seed185_frame_local_only,185,frame_local_only,16,720,4.6116875540569424e-08,2.6495607041709945e-07,0.0,2.6495607041709945e-07,2.2819009970476145e-07,1.0
seed185_frame_local_only,185,frame_local_only,17,720,4.64303139269262e-08,2.5442915374540576e-07,0.0,2.6409057607423847e-07,2.6417101972597834e-07,1.0
seed185_frame_local_only,185,frame_local_only,18,720,5.2572333930633874e-08,2.9679659441228523e-07,0.0,2.9679659441228523e-07,2.0243645826312218e-07,1.0
seed185_frame_local_only,185,frame_local_only,19,720,5.388627577485039e-08,3.3065668159082406e-07,0.0,3.3065668159082406e-07,2.0883567763974042e-07,1.0
seed185_frame_local_only,185,frame_local_only,20,720,5.584087714449737e-08,2.7012430781070407e-07,0.0,2.7012430781070407e-07,2.216008652133894e-07,1.0
GLOBAL,,,,86400,5.800120184140667e-08,3.3065668159082406e-07,0.0,3.3065668159082406e-07,3.610712273616201e-07,1.0
