seed,stable_row_id,id,source_row_id,dev_position,transition_role,intervention_type,path_class,subtype,direction,tail_epochs,recipient_tail_status,donor_tail_status,acceptable_coalitions,acceptable_coalition_count,inclusion_minimal_acceptable_coalitions,minimal_coalition_count,empty_coalition_acceptable,full_coalition_acceptable
184,generated_fact_039__paraphrase,generated_fact_039__paraphrase,generated_fact_039__paraphrase,73,recovery,paraphrase,MULTI_CHANNEL_CONFLICT,RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",PERSISTENT_NOT_ENTITLED,STABLE_SUPPORT,"[""10000"",""10001"",""10010"",""10011"",""10100"",""10101"",""10110"",""10111"",""11000"",""11001"",""11010"",""11011"",""11100"",""11101"",""11110"",""11111""]",16,"[""10000""]",1,false,true
184,generated_fact_083__paraphrase,generated_fact_083__paraphrase,generated_fact_083__paraphrase,157,harm,paraphrase,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,POLARITY_OVERRIDE_ROWS,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",STABLE_SUPPORT,UNSTABLE,"[""00000"",""00001"",""00010"",""00100"",""00101"",""00110"",""01000"",""01001"",""01010"",""01100"",""01101"",""01110"",""10000"",""10001"",""10010"",""10100"",""10101"",""10110"",""11000"",""11001"",""11010"",""11100"",""11101"",""11110""]",24,"[""00000""]",1,true,false
184,generated_fact_115__paraphrase,generated_fact_115__paraphrase,generated_fact_115__paraphrase,241,harm,paraphrase,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,POLARITY_OVERRIDE_ROWS,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",STABLE_SUPPORT,UNSTABLE,"[""00000"",""00001"",""00010"",""00100"",""00101"",""00110"",""01000"",""01001"",""01010"",""01100"",""01101"",""01110"",""10000"",""10001"",""10010"",""10100"",""10101"",""10110"",""11000"",""11001"",""11010"",""11100"",""11101"",""11110""]",24,"[""00000""]",1,true,false
184,generated_fact_118__paraphrase,generated_fact_118__paraphrase,generated_fact_118__paraphrase,253,recovery,paraphrase,MULTI_CHANNEL_CONFLICT,RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",PERSISTENT_NOT_ENTITLED,STABLE_SUPPORT,"[""11000"",""11001"",""11010"",""11011"",""11100"",""11101"",""11110"",""11111""]",8,"[""11000""]",1,false,true
184,generated_fact_128__paraphrase,generated_fact_128__paraphrase,generated_fact_128__paraphrase,289,harm,paraphrase,POLARITY_OVERRIDE_DESPITE_FRAME_GAIN,POLARITY_OVERRIDE_ROWS,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",STABLE_SUPPORT,UNSTABLE,"[""00000"",""00001"",""00100"",""00101"",""01000"",""01001"",""01100"",""01101"",""10000"",""10001"",""10010"",""10100"",""10101"",""10110"",""11000"",""11001"",""11010"",""11100"",""11101"",""11110""]",20,"[""00000""]",1,true,false
184,generated_fact_166__polarity_flip,generated_fact_166__polarity_flip,generated_fact_166__polarity_flip,431,harm,polarity_flip,FRAME_ENTITLEMENT_LOSS,FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",STABLE_SUPPORT,UNSTABLE,"[""00000"",""00001"",""00100"",""00101""]",4,"[""00000""]",1,true,false
184,generated_fact_285__polarity_flip,generated_fact_285__polarity_flip,generated_fact_285__polarity_flip,683,harm,polarity_flip,COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY,COMPOSITION_RESIDUAL_ROWS,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",STABLE_SUPPORT,PERSISTENT_NOT_ENTITLED,"[""00000"",""00001"",""00010"",""00011"",""00100"",""00101"",""00110"",""00111""]",8,"[""00000""]",1,true,false
184,language_program__paraphrase,language_program__paraphrase,language_program__paraphrase,61,recovery,paraphrase,MULTI_CHANNEL_CONFLICT,RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",PERSISTENT_NOT_ENTITLED,STABLE_SUPPORT,"[""11000"",""11001"",""11010"",""11011"",""11100"",""11101"",""11110"",""11111""]",8,"[""11000""]",1,false,true
184,museum_purchase__paraphrase,museum_purchase__paraphrase,museum_purchase__paraphrase,13,recovery,paraphrase,MULTI_CHANNEL_CONFLICT,RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",PERSISTENT_NOT_ENTITLED,STABLE_SUPPORT,"[""10000"",""10001"",""10010"",""10011"",""10100"",""10101"",""10110"",""10111"",""11000"",""11001"",""11010"",""11011"",""11100"",""11101"",""11110"",""11111""]",16,"[""10000""]",1,false,true
184,reef_protection__none,reef_protection__none,reef_protection__none,48,harm,none,FRAME_ENTITLEMENT_LOSS,FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",STABLE_SUPPORT,PERSISTENT_NOT_ENTITLED,"[""00000"",""00001"",""00010"",""00011"",""00100"",""00101"",""00110"",""00111"",""01000"",""01001"",""01100"",""01101"",""10000"",""10001"",""10100"",""10101""]",16,"[""00000""]",1,true,false
184,satellite_launch__paraphrase,satellite_launch__paraphrase,satellite_launch__paraphrase,25,recovery,paraphrase,MULTI_CHANNEL_CONFLICT,RECOVERY_SEED184_MULTI_CHANNEL_CONFLICT,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",PERSISTENT_NOT_ENTITLED,STABLE_SUPPORT,"[""10000"",""10001"",""10010"",""10011"",""10100"",""10101"",""10110"",""10111"",""11000"",""11001"",""11010"",""11011"",""11100"",""11101"",""11110"",""11111""]",16,"[""10000""]",1,false,true
185,generated_fact_045__none,generated_fact_045__none,generated_fact_045__none,84,harm,none,MULTI_CHANNEL_CONFLICT,FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",STABLE_SUPPORT,UNSTABLE,"[""00000"",""00001"",""00010"",""00011"",""00100"",""00101"",""00110"",""00111"",""01000"",""01001"",""01010"",""01011"",""01100"",""01101"",""01110"",""01111""]",16,"[""00000""]",1,true,false
185,generated_fact_285__polarity_flip,generated_fact_285__polarity_flip,generated_fact_285__polarity_flip,683,harm,polarity_flip,MULTI_CHANNEL_CONFLICT,FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",STABLE_SUPPORT,UNSTABLE,"[""00000"",""00001"",""00010"",""00011"",""00100"",""00101"",""00110"",""00111"",""01000"",""01001"",""01010"",""01011"",""01100"",""01101"",""01110"",""01111""]",16,"[""00000""]",1,true,false
185,museum_purchase__none,museum_purchase__none,museum_purchase__none,12,recovery,none,FRAME_ENTITLEMENT_GAIN,RECOVERY_SEED185_FRAME_ENTITLEMENT_GAIN,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",PERSISTENT_NOT_ENTITLED,STABLE_SUPPORT,"[""11000"",""11001"",""11010"",""11011"",""11100"",""11101"",""11110"",""11111""]",8,"[""11000""]",1,false,true
185,reef_protection__none,reef_protection__none,reef_protection__none,48,harm,none,MULTI_CHANNEL_CONFLICT,FRAME_ENTITLEMENT_LOSS_LIKE_ROWS,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",STABLE_SUPPORT,UNSTABLE,"[""00000"",""00001"",""00010"",""00011"",""00100"",""00101"",""00110"",""00111"",""01000"",""01001"",""01010"",""01011"",""01100"",""01101"",""01110"",""01111""]",16,"[""00000""]",1,true,false
185,satellite_launch__paraphrase,satellite_launch__paraphrase,satellite_launch__paraphrase,25,recovery,paraphrase,FRAME_ENTITLEMENT_GAIN,RECOVERY_SEED185_FRAME_ENTITLEMENT_GAIN,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,"[18,19,20]",PERSISTENT_NOT_ENTITLED,STABLE_SUPPORT,"[""11000"",""11001"",""11010"",""11011"",""11100"",""11101"",""11110"",""11111""]",8,"[""11000""]",1,false,true
