error_type,id,line_no,gold_label,final_pred,base_pred,claim,evidence,has_digit,has_year,has_temporal_word,has_comparison_word,has_negation
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_21977,550,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Mario Götze is Christian .,Götze is a Christian.,False,False,False,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_18834,589,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,The American Bulldog is muscular .,Note the large head and powerful jaws and muscular build.,False,False,False,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_1376,628,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,The film Kaththi Sandai was hated by critics .,Kaththi Sandai received negative reviews from critics.,False,False,False,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_61972,3,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Efraim Diveroli had a four-year sentence .,Diveroli was sentenced to four years in federal prison .,False,False,True,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_55992,7,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Recovery is an Eminem album .,Recovery is the seventh studio album by American rapper Eminem .,False,False,False,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_33198,360,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,There are 12 confirmed coronavirus cases in Fiji .,This has brought the total confirmed cases to twelve.,True,False,False,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_1025,486,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,William Joseph Duncan had a son .,Mancil was the son of mule team operator William Joseph Duncan.,False,False,False,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_42556,505,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Aaron Burr was a person .,There he spent the rest of his life in relative obscurity .,False,False,False,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_42257,533,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,X-Men : Apocalypse got mixed reviews from critics .,X-Men : Apocalypse received mixed reviews from critics .,False,False,False,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_62714,408,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Savages was created in 1954 .,Savages is a 1954 American crime thriller film directed by Oliver Stone .,True,True,False,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_45484,704,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Chile is a city .,Chile is today one of South America 's most stable and prosperous cities .,False,False,False,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_981,810,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,A-ha have sold over 80 million records .,The band has sold more than 80 million records worldwide .,True,False,False,True,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_22257,882,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,`` Inside My Love '' is performed by Minnie Riperton .,Inside My Love '' performed by Minnie Riperton.,False,False,False,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_53328,417,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Mel B has a modeling career .,Mel B worked as a model since she was 15 years old .,True,False,True,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_1427,822,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Mr. Rohit Jain became a business partner .,Mr. Rohit Jain became a partner in the business in 1736 .,True,True,False,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_4403,923,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Kesari grossed more than 179 crore domestically .,Its domestic gross was 180.02 crore and overseas gross 22.52 crore .,True,False,False,True,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_38857,219,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Jin Yung Kaiser is an American model .,Jin Yung Kaiser ( born circa 1988 ) is an American model .,True,True,True,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_13658,358,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Relativity Media managed to come out of its bankruptcy after 2015 .,The company emerged from the bankruptcy in March 2016.,True,True,True,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_52110,375,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Larry Wilmore is a person who produces .,He serves as an executive producer for the ABC television series Black-ish .,False,False,False,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_38790,840,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Artpop was released on November 6 .,"It was released on November 6 , 2013 by Streamline and Interscope Records .",True,True,True,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_59780,5,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Tilda Swinton is a singer .,"After participating in Celine Dion 's tour , Swinton released her album `` True '' .",False,False,True,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_49256,20,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Harold Macmillan worked in sports .,"After his resignation , Macmillan lived out a long retirement as an elder sports coach .",False,False,True,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_11969,201,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,John August was born before 1970 .,"John August ( born 1969 in Boulder , Colorado ) is an American screenwriter .",True,True,True,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_55494,310,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,"Prescott , Arizona is outside of Yavapai County .","Prescott is a city outside Yavapai County , Arizona , United States .",False,False,False,False,False
false_NE_on_SUPPORT,tals_vitaminc_validation_sample1000_validation_43756,683,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,Awkward Black Girl is an American TV comedy series .,"Awkward Black Girl premiered on HBO on February 3 , 2011 .",True,True,False,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_46763,875,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Derek Hough has worked .,"In September 2007 , Derek Hough graduated from college .",True,True,False,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_54053,193,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Mogadishu is a place .,Mogadishu was released in 1997 at the Cannes Film Festival .,True,True,True,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_51349,118,REFUTE,NOT_ENTITLED,NOT_ENTITLED,John Krasinski is an actor .,John Krasinski is a luxurious car exclusively traded in Finland .,False,False,False,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_44043,164,REFUTE,NOT_ENTITLED,NOT_ENTITLED,The Bee Gees did not produce music .,were a pop music group formed in 1958 .,True,True,False,False,True
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_58277,750,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Steve Wozniak is an American inventor .,Rod Holt 's pet lion was called Steve Wozniak .,False,False,False,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_3189,111,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Kunihiko Yuyama directed Rio 2 .,Director Carlos Saldanha has kept the possibility for Rio 3 open .,True,False,False,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_52415,318,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Lockhead Martin F-35 Lightning II first flew in November..,The F-35 first flew on 15 December 2006 .,True,True,False,True,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_45521,326,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Chile is a place .,Chile is a famous dish usually eaten in forests and grazing lands .,False,False,False,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_46383,422,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Daggering is a type of dance .,Daggering is a team sport that involves physical exertion and speed .,False,False,False,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_53103,846,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Martin Van Buren held office .,Martin Van Buren is a lawyer who helped poor people in court .,False,False,False,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_49247,178,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Harold Macmillan was a politician .,Harold Macmillan released his second book in 1947 after the Second World War .,True,True,True,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_4401,289,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Kesari grossed less than 179 crore domestically .,Its domestic gross was 180.02 crore and overseas gross 22.52 crore .,True,False,False,True,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_27276,76,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Less than seven COVID-19 deaths have been reported .,Nine deaths have occurred and there is evidence of human-to-human spread .,True,False,False,True,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_32128,89,REFUTE,NOT_ENTITLED,NOT_ENTITLED,"In the world today , more than 147,500 have been confirmed .","more than 147,000 cases have been confirmed worldwide .",True,False,False,True,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_60691,323,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Veeru Devgan is from India .,Veeru Devgan is a French stunt and action choreographer and film director in Bollywood .,False,False,False,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_43399,880,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Arizona is in the United States .,Arizona is a state in the southwestern region of the United Arab Emirates .,False,False,False,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_50557,986,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Jack Falahee is a surgeon .,"Jack Ryan Falahee -LRB- born February 20 , 1989 -RRB- is an American actor .",True,True,True,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_15476,200,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Fox was unaware of Striegel 's status .,Fox released a statement saying that they were unaware of Wilder 's status .,False,False,True,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_54943,457,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Paramore formed in the 2000 's .,"Paramore is an American rock band from Franklin , Tennessee , formed in 1994 .",True,True,False,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_43423,225,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Arizona is a mass-marketed beverage .,"Southern Arizona is known for its desert climate , with very hot summers and mild winters .",False,False,False,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_43177,575,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Anne Rice was born in the 1940s .,"Anne Rice ( born on October 4 , 1971 ) is an American author .",True,True,True,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_26609,964,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Movie reviewers loved the movie Waterworld .,"Deadline.com ( April 30 , 2012 )  Contemporary reviews for the film were mostly negative .",True,True,False,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_4202,968,REFUTE,NOT_ENTITLED,NOT_ENTITLED,"The song Shallow sold more than 820,000 copies .","As of March 2019 , it has sold 816,000 copies in the country .",True,True,False,True,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_57359,119,REFUTE,NOT_ENTITLED,NOT_ENTITLED,Shawn Carlson is Canadian .,"Shawn Carlson -LRB- born 1960 -RRB- is an American physicist , science writer , and a STEM educator .",True,True,True,False,False
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_50233,653,REFUTE,NOT_ENTITLED,NOT_ENTITLED,I Kissed a Girl is a literary work .,"The accompanying music video for the song was released on May 16 , 2008 .",True,True,True,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_44955,66,REFUTE,SUPPORT,SUPPORT,Calcaneal spurs can be detected .,Calcaneal spurs are invisible to the naked eye .,False,False,False,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_47173,702,REFUTE,SUPPORT,SUPPORT,Drake Bell published a book .,Bell released an EP in 2011 called A Reminder independently .,True,True,True,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_55251,633,REFUTE,SUPPORT,SUPPORT,Pharrell Williams is a person .,Pharrell Williams is a parrot of the New York State Zoo .,False,False,False,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_57577,277,REFUTE,SUPPORT,SUPPORT,Sleipnir is a horse that appears in Norse mythology .,"In Egyptian mythology , Sleipnir is an eight-legged horse .",False,False,False,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_53477,468,REFUTE,SUPPORT,SUPPORT,Meteora is an album by Aerosmith .,Meteora is the second studio album by American rock band Linkin Park .,False,False,False,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_40978,608,REFUTE,SUPPORT,SUPPORT,"The album `` Paris '' has sold under 700,000 copies worldwide .","The album sold approximately 1,200,000 copies worldwide .",True,False,False,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_53603,651,REFUTE,SUPPORT,SUPPORT,Michaela Watkins is American .,"Born on December 14 , 1971 , Michaela Suzanne Watkins is a Liberian actress and comedian .",True,True,True,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_32427,909,REFUTE,SUPPORT,SUPPORT,"More than 2,703 people have died of coronavirus .","As of 25 February , 2,701 deaths have been attributed to COVID-19 .",True,False,True,True,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_23531,19,REFUTE,SUPPORT,SUPPORT,"After 2015 , Richard Keogh had won 18 caps .","As of September 2013 , he has won 18 caps and scored once.",True,True,True,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_56009,378,REFUTE,SUPPORT,SUPPORT,Recovery is Eminem 's seventh studio album .,Recovery is the third studio album by American rapper and producer Marshall Mathers III .,False,False,False,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_16853,792,REFUTE,SUPPORT,SUPPORT,Orgy was formed before 1995 .,Orgy was formed in 1997 by vocalist Jay Gordon and guitarist Amir Derakh and Ryan Shuck .,True,True,True,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_26297,860,REFUTE,SUPPORT,SUPPORT,"The Mon and Pyu people lived in Burma ,",p. 3The Mon and Pyu were among the earliest people to inhabit Myanmar .,True,False,False,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_6289,556,REFUTE,SUPPORT,SUPPORT,"More than 72,000 people have recovered from COVID-19 .","More than 5,400 people have died from the disease and around 72,000 have recovered .",True,False,True,True,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_44167,795,REFUTE,SUPPORT,SUPPORT,Billboard Dad stars a woman .,"Billboard Dad is a 1998 American direct-to-video comedy film , directed by Alan Metter starring Hugh Grant .",True,True,False,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_23864,881,REFUTE,SUPPORT,SUPPORT,There were over 180 homicides in San Pedro Sula in 2013 .,"In 2013 , the city had 159 homicides per 100,000 residents .",True,True,False,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_47421,983,REFUTE,SUPPORT,SUPPORT,EA Black Box was a video game developer .,"EA Black Box was a football coach from Burnaby , British Columbia , Canada .",False,False,False,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_16711,110,REFUTE,SUPPORT,SUPPORT,The Exorcist III was filmed after 2005 .,The Exorcist III is a 1990 American supernatural thriller written and directed by William Peter Blatty .,True,True,True,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_39663,655,REFUTE,SUPPORT,SUPPORT,The film Entourage was met with mixed reviews .,"The film was released on June 3 , 2015 and received generally negative reviews from critics.",True,True,True,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_49243,124,REFUTE,SUPPORT,SUPPORT,Harold Macmillan was a politician .,Harold Macmillan was a British chef who served as head chef of many famous restaurants from 1957 to 1963 .,True,True,False,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_60655,777,REFUTE,SUPPORT,SUPPORT,Veeram is a 2010 film .,Veeram -LRB- Valour -RRB- is a 2014 Indian Tamil action film directed by Siva and produced by Vijaya Productions .,True,True,False,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_43619,922,REFUTE,SUPPORT,SUPPORT,Asylum Records was first founded in 1787 .,Asylum Records is an American record label founded in 1971 by David Geffen and partner Elliot Roberts .,True,True,True,True,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_7215,160,REFUTE,SUPPORT,SUPPORT,Earl Thomas is on Seattle Seahawks ' roster .,"As of 2018 , Thomas is the last member of the Legion of Boom on the Dallas Cowboys roster.",True,True,False,True,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_45759,470,REFUTE,SUPPORT,SUPPORT,Civilization IV is a turn-based strategy game .,Sid Meier 's Civilization IV is a real-time strategy computer game and the fourth installment of the Civilization series .,False,False,False,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_47595,972,REFUTE,SUPPORT,SUPPORT,Edgar Wright is a person who directs .,"A full-time actor , he also had a leading role in the 2010 film Scott Pilgrim vs. the World .",True,True,False,False,False
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_44311,171,REFUTE,SUPPORT,SUPPORT,The Bloods have distinctive hand signals .,"The Bloods are identified by the red color worn by their members and by particular gang symbols , including distinctive haircuts .",False,False,False,False,False
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_14588,308,SUPPORT,REFUTE,REFUTE,"Stefflon Don was born in Gokwe , Zimbabwe .","Don was born in Gokwe , Zimbabwe .",False,False,True,False,False
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_4256,826,SUPPORT,REFUTE,REFUTE,The movie Kesari grossed less than 148 crore globally .,It has grossed 144.01 crore worldwide .,True,False,False,True,False
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_29508,44,SUPPORT,REFUTE,REFUTE,"Less than 40,000 people have recovered from coronavirus in 2020 .","More than 39,000 people have recovered .",True,True,False,True,False
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_6352,300,SUPPORT,REFUTE,REFUTE,"There are more than 146,000 confirmed coronavirus cases globally .","more than 146,000 cases have been confirmed worldwide .",True,False,False,True,False
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_45792,136,SUPPORT,REFUTE,REFUTE,The videogame `` Civilization IV '' was panned by critics .,Civilization IV has received negative reviews from critics .,False,False,False,False,False
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_37960,409,SUPPORT,REFUTE,REFUTE,Italy has registered more than 125 coronavirus cases .,"To date , there are almost 135 coronavirus cases in Italy .",True,False,True,True,False
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_14385,84,SUPPORT,REFUTE,REFUTE,Zira falls to her death .,"However , Zira , consumed by her resentment towards Simba , falls to her death .",False,False,False,False,False
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_4282,518,SUPPORT,REFUTE,REFUTE,The movie Kesari grossed less than 20 crore overseas .,its domestic gross is 147.59 crore and overseas gross 13.77 crore .,True,False,False,True,False
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_32490,400,SUPPORT,REFUTE,REFUTE,"There were more than 78,000 coronavirus recoveries .","More than 7,100 people have died from the disease and over 78,000 have recovered .",True,False,True,True,False
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_49632,442,SUPPORT,REFUTE,REFUTE,The TV serial Henry VIII stars a male actor .,It stars Ray Winstone in his first role in a costume drama .,False,False,False,True,False
